hook	sample	latency_ms
pretool-interceptor	1	69.95
pretool-interceptor	2	55.67
pretool-interceptor	3	49.34
pretool-interceptor	4	53.32
pretool-interceptor	5	63.38
pretool-interceptor	6	51.94
pretool-interceptor	7	52.40
pretool-interceptor	8	68.20
pretool-interceptor	9	56.73
pretool-interceptor	10	48.77
pretool-interceptor	11	52.56
pretool-interceptor	12	61.04
pretool-interceptor	13	67.44
pretool-interceptor	14	50.86
pretool-interceptor	15	48.68
pretool-interceptor	16	46.53
pretool-interceptor	17	48.17
pretool-interceptor	18	51.48
pretool-interceptor	19	43.82
pretool-interceptor	20	51.10
pretool-interceptor	21	49.55
pretool-interceptor	22	51.31
pretool-interceptor	23	85.71
pretool-interceptor	24	60.72
pretool-interceptor	25	53.48
pretool-interceptor	26	63.61
pretool-interceptor	27	50.48
pretool-interceptor	28	61.82
pretool-interceptor	29	57.84
pretool-interceptor	30	55.46
pretool-interceptor	31	59.62
pretool-interceptor	32	62.89
pretool-interceptor	33	52.45
pretool-interceptor	34	52.79
pretool-interceptor	35	49.08
pretool-interceptor	36	114.97
pretool-interceptor	37	47.17
pretool-interceptor	38	58.46
pretool-interceptor	39	50.18
pretool-interceptor	40	49.79
pretool-interceptor	41	46.80
pretool-interceptor	42	48.54
pretool-interceptor	43	45.11
pretool-interceptor	44	49.90
pretool-interceptor	45	46.49
pretool-interceptor	46	55.77
pretool-interceptor	47	48.15
pretool-interceptor	48	45.94
pretool-interceptor	49	45.51
pretool-interceptor	50	56.33
pretool-interceptor	51	57.75
pretool-interceptor	52	58.12
pretool-interceptor	53	46.92
pretool-interceptor	54	48.66
pretool-interceptor	55	54.58
pretool-interceptor	56	62.36
pretool-interceptor	57	63.12
pretool-interceptor	58	57.37
pretool-interceptor	59	158.08
pretool-interceptor	60	50.16
pretool-interceptor	61	48.53
pretool-interceptor	62	45.64
pretool-interceptor	63	44.59
pretool-interceptor	64	47.62
pretool-interceptor	65	54.95
pretool-interceptor	66	46.97
pretool-interceptor	67	47.21
pretool-interceptor	68	48.37
pretool-interceptor	69	50.50
pretool-interceptor	70	46.28
pretool-interceptor	71	55.15
pretool-interceptor	72	45.47
pretool-interceptor	73	46.48
pretool-interceptor	74	48.21
pretool-interceptor	75	49.17
pretool-interceptor	76	53.11
pretool-interceptor	77	46.14
pretool-interceptor	78	45.60
pretool-interceptor	79	47.96
pretool-interceptor	80	53.17
pretool-interceptor	81	63.61
pretool-interceptor	82	56.71
pretool-interceptor	83	65.89
pretool-interceptor	84	48.27
pretool-interceptor	85	49.24
pretool-interceptor	86	52.09
pretool-interceptor	87	44.72
pretool-interceptor	88	51.06
pretool-interceptor	89	54.44
pretool-interceptor	90	50.90
pretool-interceptor	91	51.45
pretool-interceptor	92	53.52
pretool-interceptor	93	55.52
pretool-interceptor	94	53.91
pretool-interceptor	95	53.05
pretool-interceptor	96	50.26
pretool-interceptor	97	49.91
pretool-interceptor	98	45.34
pretool-interceptor	99	48.04
pretool-interceptor	100	53.08
override-detector	1	43.75
override-detector	2	28.35
override-detector	3	34.60
override-detector	4	29.87
override-detector	5	32.19
override-detector	6	28.18
override-detector	7	31.77
override-detector	8	35.88
override-detector	9	33.54
override-detector	10	46.21
override-detector	11	54.58
override-detector	12	103.06
override-detector	13	30.76
override-detector	14	34.54
override-detector	15	49.03
override-detector	16	33.56
override-detector	17	30.82
override-detector	18	32.76
override-detector	19	73.84
override-detector	20	42.00
override-detector	21	46.90
override-detector	22	40.54
override-detector	23	35.81
override-detector	24	32.90
override-detector	25	31.46
override-detector	26	42.16
override-detector	27	43.69
override-detector	28	52.48
override-detector	29	30.38
override-detector	30	31.98
override-detector	31	29.13
override-detector	32	33.60
override-detector	33	35.87
override-detector	34	48.80
override-detector	35	49.00
override-detector	36	37.78
override-detector	37	35.48
override-detector	38	32.66
override-detector	39	46.42
override-detector	40	42.05
override-detector	41	35.90
override-detector	42	33.36
override-detector	43	29.62
override-detector	44	28.96
override-detector	45	37.23
override-detector	46	33.97
override-detector	47	29.76
override-detector	48	29.01
override-detector	49	35.56
override-detector	50	39.75
override-detector	51	34.71
override-detector	52	27.80
override-detector	53	97.94
override-detector	54	33.90
override-detector	55	32.56
override-detector	56	27.64
override-detector	57	28.80
override-detector	58	34.44
override-detector	59	30.76
override-detector	60	38.40
override-detector	61	34.38
override-detector	62	30.26
override-detector	63	31.60
override-detector	64	29.83
override-detector	65	28.42
override-detector	66	29.45
override-detector	67	32.00
override-detector	68	29.05
override-detector	69	34.99
override-detector	70	28.98
override-detector	71	28.08
override-detector	72	29.15
override-detector	73	26.87
override-detector	74	34.14
override-detector	75	28.77
override-detector	76	27.11
override-detector	77	31.29
override-detector	78	30.45
override-detector	79	28.19
override-detector	80	27.96
override-detector	81	57.19
override-detector	82	29.58
override-detector	83	28.25
override-detector	84	29.69
override-detector	85	36.91
override-detector	86	30.43
override-detector	87	26.52
override-detector	88	28.40
override-detector	89	27.79
override-detector	90	27.58
override-detector	91	35.27
override-detector	92	31.56
override-detector	93	32.40
override-detector	94	29.33
override-detector	95	27.20
override-detector	96	30.16
override-detector	97	28.36
override-detector	98	27.69
override-detector	99	28.00
override-detector	100	26.89
evidence-validator	1	155.53
evidence-validator	2	66.24
evidence-validator	3	64.75
evidence-validator	4	76.97
evidence-validator	5	67.60
evidence-validator	6	129.58
evidence-validator	7	68.73
evidence-validator	8	77.31
evidence-validator	9	164.80
evidence-validator	10	70.63
evidence-validator	11	61.28
evidence-validator	12	63.28
evidence-validator	13	62.84
evidence-validator	14	67.61
evidence-validator	15	75.14
evidence-validator	16	61.24
evidence-validator	17	73.21
evidence-validator	18	67.53
evidence-validator	19	70.05
evidence-validator	20	68.43
evidence-validator	21	76.73
evidence-validator	22	66.04
evidence-validator	23	65.42
evidence-validator	24	63.90
evidence-validator	25	68.53
evidence-validator	26	79.59
evidence-validator	27	64.32
evidence-validator	28	63.25
evidence-validator	29	66.02
evidence-validator	30	68.90
evidence-validator	31	71.85
evidence-validator	32	63.29
evidence-validator	33	65.50
evidence-validator	34	65.87
evidence-validator	35	75.69
evidence-validator	36	70.35
evidence-validator	37	70.22
evidence-validator	38	72.78
evidence-validator	39	69.14
evidence-validator	40	67.49
evidence-validator	41	66.43
evidence-validator	42	69.47
evidence-validator	43	79.54
evidence-validator	44	68.30
evidence-validator	45	166.69
evidence-validator	46	478.44
evidence-validator	47	156.51
evidence-validator	48	89.49
evidence-validator	49	106.09
evidence-validator	50	223.40
evidence-validator	51	192.90
evidence-validator	52	69.86
evidence-validator	53	89.37
evidence-validator	54	91.63
evidence-validator	55	88.20
evidence-validator	56	108.99
evidence-validator	57	72.72
evidence-validator	58	87.25
evidence-validator	59	86.14
evidence-validator	60	72.52
evidence-validator	61	64.46
evidence-validator	62	81.83
evidence-validator	63	75.73
evidence-validator	64	72.77
evidence-validator	65	80.69
evidence-validator	66	65.77
evidence-validator	67	65.88
evidence-validator	68	69.23
evidence-validator	69	67.79
evidence-validator	70	68.62
evidence-validator	71	76.25
evidence-validator	72	64.46
evidence-validator	73	72.23
evidence-validator	74	61.52
evidence-validator	75	65.26
evidence-validator	76	70.04
evidence-validator	77	92.20
evidence-validator	78	75.73
evidence-validator	79	86.62
evidence-validator	80	73.25
evidence-validator	81	64.40
evidence-validator	82	67.81
evidence-validator	83	68.81
evidence-validator	84	66.48
evidence-validator	85	61.59
evidence-validator	86	65.34
evidence-validator	87	65.00
evidence-validator	88	69.17
evidence-validator	89	64.36
evidence-validator	90	89.60
evidence-validator	91	88.11
evidence-validator	92	62.26
evidence-validator	93	63.39
evidence-validator	94	70.86
evidence-validator	95	66.34
evidence-validator	96	59.94
evidence-validator	97	71.49
evidence-validator	98	75.01
evidence-validator	99	75.39
evidence-validator	100	68.13
bash-watcher	1	74.00
bash-watcher	2	472.75
bash-watcher	3	120.67
bash-watcher	4	86.00
bash-watcher	5	114.96
bash-watcher	6	71.91
bash-watcher	7	62.88
bash-watcher	8	62.60
bash-watcher	9	71.54
bash-watcher	10	71.19
bash-watcher	11	81.29
bash-watcher	12	69.00
bash-watcher	13	75.29
bash-watcher	14	130.57
bash-watcher	15	130.94
bash-watcher	16	108.65
bash-watcher	17	94.36
bash-watcher	18	78.68
bash-watcher	19	70.38
bash-watcher	20	64.34
bash-watcher	21	60.73
bash-watcher	22	70.10
bash-watcher	23	73.45
bash-watcher	24	64.17
bash-watcher	25	79.77
bash-watcher	26	97.42
bash-watcher	27	69.40
bash-watcher	28	72.94
bash-watcher	29	81.37
bash-watcher	30	75.14
bash-watcher	31	78.75
bash-watcher	32	65.10
bash-watcher	33	74.19
bash-watcher	34	72.57
bash-watcher	35	70.20
bash-watcher	36	71.47
bash-watcher	37	63.91
bash-watcher	38	67.63
bash-watcher	39	397.35
bash-watcher	40	172.53
bash-watcher	41	143.26
bash-watcher	42	84.26
bash-watcher	43	76.36
bash-watcher	44	76.74
bash-watcher	45	76.92
bash-watcher	46	70.12
bash-watcher	47	64.60
bash-watcher	48	68.51
bash-watcher	49	81.46
bash-watcher	50	78.95
bash-watcher	51	113.17
bash-watcher	52	70.65
bash-watcher	53	73.32
bash-watcher	54	66.00
bash-watcher	55	60.71
bash-watcher	56	63.24
bash-watcher	57	66.14
bash-watcher	58	65.01
bash-watcher	59	62.04
bash-watcher	60	69.59
bash-watcher	61	64.29
bash-watcher	62	59.15
bash-watcher	63	58.13
bash-watcher	64	56.88
bash-watcher	65	59.03
bash-watcher	66	60.96
bash-watcher	67	58.46
bash-watcher	68	67.83
bash-watcher	69	59.57
bash-watcher	70	58.92
bash-watcher	71	70.71
bash-watcher	72	58.80
bash-watcher	73	58.90
bash-watcher	74	59.38
bash-watcher	75	81.81
bash-watcher	76	62.80
bash-watcher	77	61.08
bash-watcher	78	61.07
bash-watcher	79	68.11
bash-watcher	80	75.40
bash-watcher	81	60.85
bash-watcher	82	78.36
bash-watcher	83	59.63
bash-watcher	84	62.81
bash-watcher	85	57.73
bash-watcher	86	61.34
bash-watcher	87	60.13
bash-watcher	88	73.54
bash-watcher	89	59.91
bash-watcher	90	61.33
bash-watcher	91	62.54
bash-watcher	92	70.87
bash-watcher	93	118.31
bash-watcher	94	69.28
bash-watcher	95	66.27
bash-watcher	96	67.36
bash-watcher	97	77.67
bash-watcher	98	66.92
bash-watcher	99	58.26
bash-watcher	100	76.98
